wkt_geom,RAILID,RAILNAME,RAILTYPE,BRITUNNAME,異動日期_西元年月,SOURCE,DEFINITION,坐標系統
"MultiLineString ((236530.89340000040829182 2728038.32640000060200691, 236558.45899999979883432 2728049.27800000086426735, 236591.93200000002980232 2728064.4419999998062849, 236599.71899999957531691 2728067.77500000037252903, 236609.27300000004470348 2728071.86400000005960464, 236645.76400000043213367 2728090.99499999918043613, 236645.81400000024586916 2728091.02099999971687794, 236648.55999999959021807 2728092.46000000089406967, 236651.43099999986588955 2728093.96499999985098839, 236651.48199999984353781 2728093.99200000055134296, 236657.11010000016540289 2728096.94209999963641167))",K0000000171,臺鐵海岸線(海線),1,下南港溪橋,202001,0,0,TM2
"MultiLineString ((237972.38300000037997961 2736032.43799999915063381, 237973.23400000017136335 2736033.08500000089406967, 237975.34499999973922968 2736034.68799999915063381, 237976.39099999982863665 2736035.48299999907612801, 237977.46600000001490116 2736036.30000000074505806, 237977.63700000010430813 2736036.42999999970197678, 237978.37200000043958426 2736036.98799999989569187, 237979.46100000012665987 2736037.81499999947845936))",K0000000149,臺鐵縱貫線(北段),1,,201911,0,0,TM2
"MultiLineString ((230799.85699999984353781 2727671.91200000047683716, 230799.50299999956041574 2727671.58699999935925007, 230798.03100000042468309 2727670.23599999956786633, 230796.553999999538064 2727668.88099999912083149, 230795.49500000011175871 2727667.90899999998509884))",K0000000168,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((230795.49500000011175871 2727667.90899999998509884, 230792.69900000002235174 2727665.34200000017881393, 230762.00100000016391277 2727638.62900000065565109, 230746.723000000230968 2727623.35199999995529652, 230733.00499999988824129 2727609.321000000461936, 230718.97400000039488077 2727593.73200000077486038, 230699.24700000043958426 2727570.40300000086426735, 230676.88300000037997961 2727541.6640000008046627, 230663.50800000037997961 2727524.25200000032782555, 230658.02599999960511923 2727516.38299999944865704, 230640.09200000017881393 2727487.41300000064074993, 230638.87200000043958426 2727485.44099999964237213, 230637.76400000043213367 2727483.64900000020861626, 230636.65400000009685755 2727481.85500000044703484, 230621.38399999961256981 2727457.16999999992549419, 230613.59499999973922968 2727442.47699999995529652, 230608.72499999962747097 2727433.76799999922513962, 230571.36400000005960464 2727368.62199999950826168, 230571.05700000002980232 2727368.08699999935925007, 230516.44500000029802322 2727272.86099999956786633, 230449.76999999955296516 2727156.10400000028312206, 230447.3619999997317791 2727152.07499999925494194, 230389.99600000027567148 2727048.9330000001937151))",K0000000202,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((226806.14900000020861626 2700655.09200000017881393, 226796.63100000005215406 2700651.80199999921023846, 226776.13399999961256981 2700645.80199999921023846))",K0000000134,臺鐵舊山線,1,,201908,0,0,TM2
"MultiLineString ((237808.58399999979883432 2729457.57200000062584877, 237808.58899999968707561 2729457.60099999979138374, 237808.598000000230968 2729457.65399999916553497, 237825.276999999769032 2729554.01799999922513962))",K0000000273,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((237687.87299999967217445 2729466.99499999918043613, 237692.96200000029057264 2729476.24000000022351742, 237695.95500000007450581 2729481.67600000090897083, 237697.99199999962002039 2729485.37700000032782555))",K0000000180,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((237875.30700000002980232 2730256.56000000052154064, 237875.53699999954551458 2730260.72599999979138374, 237875.54100000020116568 2730260.803999999538064, 237875.63100000005215406 2730262.42999999970197678, 237875.71700000017881393 2730263.98799999989569187, 237875.72099999990314245 2730264.06399999931454659, 237875.92700000014156103 2730267.7909999992698431))",K0000000254,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((237697.99199999962002039 2729485.37700000032782555, 237698.01800000015646219 2729485.42500000074505806, 237724.65299999993294477 2729533.81000000052154064, 237741.55499999970197678 2729570.17300000041723251))",K0000000216,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((227141.74199999962002039 2722141.553999999538064, 227142.66199999954551458 2722141.53500000014901161, 227143.02599999960511923 2722141.52700000070035458, 227144.81500000040978193 2722141.49000000022351742, 227145.178999999538064 2722141.48299999907612801, 227146.99399999994784594 2722141.44500000029802322, 227147.35900000017136335 2722141.43799999915063381, 227147.58800000045448542 2722141.4330000001937151))",K0000000154,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((237905.34599999990314245 2730655.76799999922513962, 237904.33800000045448542 2730644.22800000011920929))",K0000000223,臺鐵縱貫線(北段),1,,202001,0,0,TM2
"MultiLineString ((236176.3349999999627471 2727933.19099999964237213, 236179.02300000004470348 2727933.89599999971687794, 236179.0719999996945262 2727933.90899999998509884, 236181.88700000010430813 2727934.64699999988079071, 236184.47499999962747097 2727935.32499999925494194, 236184.53199999965727329 2727935.33999999985098839, 236188.901999999769032 2727936.48599999956786633))",K0000000169,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((233684.07650000043213367 2728423.67359999939799309, 233680.30700000002980232 2728425.13299999944865704, 233545.15500000026077032 2728477.4739999994635582, 233118.87100000027567148 2728641.07799999974668026, 233103.46999999973922968 2728646.6659999992698431, 233103.16199999954551458 2728646.77800000086426735, 233098.52799999993294477 2728648.46000000089406967, 233063.08800000045448542 2728659.58899999968707561, 233010.41299999970942736 2728674.19700000062584877, 232957.60099999979138374 2728685.47199999913573265, 232898.17399999964982271 2728694.446000000461936, 232892.571000000461936 2728694.78099999949336052))",K0000000208,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((227132.23400000017136335 2703568.98100000061094761, 227179 2703961.47800000011920929, 227217.25299999956041574 2704280.79600000008940697, 227235.83999999985098839 2704416.47100000083446503, 227251.85099999979138374 2704485.63399999961256981, 227252.95100000035017729 2704489.80000000074505806, 227253.66700000036507845 2704492.50899999961256981, 227254.23199999984353781 2704494.64699999988079071, 227266.10400000028312206 2704539.59999999962747097, 227297.67399999964982271 2704646.89800000004470348, 227311.41799999959766865 2704694.44099999964237213, 227311.45199999958276749 2704694.55599999986588955, 227311.46399999968707561 2704694.5989999994635582, 227332.56900000013411045 2704767.60500000044703484, 227335.0580000001937151 2704776.071000000461936))",K0000000126,臺鐵臺中線(山線),2,,201908,0,0,TM2
"MultiLineString ((232153.15299999993294477 2721571.21800000034272671, 232160.23900000005960464 2721592.59999999962747097, 232180.22499999962747097 2721646.53700000047683716, 232204.55700000002980232 2721693.00999999977648258, 232228.29700000025331974 2721737.13199999928474426, 232240.46399999968707561 2721756.875, 232250.61899999994784594 2721771.31299999915063381))",K0000000259,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((237865.57600000035017729 2730257.3359999991953373, 237865.73000000044703484 2730259.66699999943375587, 237865.73500000033527613 2730259.74499999918043613, 237865.83800000045448542 2730261.29299999959766865, 237865.95700000040233135 2730263.09600000083446503, 237865.96200000029057264 2730263.17300000041723251, 237866.29299999959766865 2730268.20299999974668026, 237866.33700000029057264 2730268.90699999965727329))",K0000000183,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((237954.10300000011920929 2731644.53099999949336052, 237954.63999999966472387 2731570.44999999925494194, 237959.12100000027567148 2731524.2109999991953373, 237962.41700000036507845 2731470.68400000035762787, 237967.16199999954551458 2731417.15499999932944775, 237968.62600000016391277 2731355.70099999941885471, 237971.81099999975413084 2731311.35500000044703484, 237972.05499999970197678 2731244.06399999931454659, 237969.61600000038743019 2731162.60500000044703484))",K0000000233,臺鐵縱貫線(北段),2,,202001,0,0,TM2
"MultiLineString ((231797.04299999959766865 2719661.26700000092387199, 231799.91100000031292439 2719721.27800000086426735, 231820.48199999984353781 2719901.94899999909102917, 231834.72900000028312206 2720008.24499999918043613, 231868.97900000028312206 2720253.06399999931454659, 231883.30200000014156103 2720366.03099999949336052, 231899.73799999989569187 2720507.63199999928474426, 231914.00700000021606684 2720611.41300000064074993, 231931.35500000044703484 2720709.69800000078976154, 231975.9330000001937151 2720921.6919999998062849))",K0000000257,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((237866.33700000029057264 2730268.90699999965727329, 237874.81300000008195639 2730405.58300000056624413, 237887.20199999958276749 2730552.11700000055134296))",K0000000219,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((237969.61600000038743019 2731162.60500000044703484, 237969.03600000031292439 2731143.27800000086426735, 237961.0530000003054738 2731003.84400000050663948, 237954.84200000017881393 2730949.3340000007301569, 237934.45600000023841858 2730843.55499999970197678, 237923.02599999960511923 2730778.58699999935925007, 237907.83399999979883432 2730684.25799999944865704, 237905.34599999990314245 2730655.76799999922513962))",K0000000234,臺鐵縱貫線(北段),2,,202001,0,0,TM2
"MultiLineString ((237901.46200000029057264 2730611.29600000008940697, 237899.68800000008195639 2730591.00300000049173832, 237898.82000000029802322 2730581.08300000056624413))",K0000000221,臺鐵縱貫線(北段),1,,202001,0,0,TM2
"MultiLineString ((236757.74000000022351742 2733840.29399999976158142, 236756.68200000002980232 2733844.6380000002682209, 236756.66100000031292439 2733844.7239999994635582, 236755.92599999997764826 2733847.73900000005960464, 236755.19099999964237213 2733850.75500000081956387, 236755.17100000008940697 2733850.83899999968707561, 236753.83000000007450581 2733856.34500000067055225))",K0000000227,臺鐵縱貫線(北段),1,,202001,0,0,TM2
"MultiLineString ((237889.09200000017881393 2730580.86099999956786633, 237891.07899999991059303 2730611.08300000056624413))",K0000000220,臺鐵縱貫線(北段),1,,202001,0,0,TM2
"MultiLineString ((237477.66700000036507845 2727477.47599999979138374, 237477.79600000008940697 2727481.57699999958276749, 237477.95500000007450581 2727486.61700000055134296))",K0000000249,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((236188.901999999769032 2727936.48599999956786633, 236207.71700000017881393 2727941.41799999959766865, 236309.276999999769032 2727966.24899999983608723, 236416.77099999971687794 2727995.64299999922513962, 236478.66999999992549419 2728018.58500000089406967, 236529.48199999984353781 2728037.76600000075995922, 236530.05190000031143427 2728037.99230000004172325, 236530.89340000040829182 2728038.32640000060200691))",K0000000290,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((225374.90899999998509884 2722823.78600000031292439, 225394.55999999959021807 2722823.69999999925494194, 225432.90799999982118607 2722822.03299999982118607, 225489.57400000002235174 2722817.45800000056624413, 225501.92700000014156103 2722816.08799999952316284, 225502.23400000017136335 2722816.053999999538064, 225574.76200000010430813 2722808.00899999961256981, 225648.29999999981373549 2722799.84799999929964542, 225709.70899999979883432 2722792.97900000028312206, 225753.15400000009685755 2722787.88099999912083149, 225765.83999999985098839 2722786.39599999971687794, 225766.23300000000745058 2722786.34999999962747097, 225772.66899999976158142 2722785.59600000083446503, 225773.06199999991804361 2722785.55000000074505806, 225773.65000000037252903 2722785.48100000061094761, 225779.26599999982863665 2722784.82399999909102917, 225779.65899999998509884 2722784.77800000086426735, 225784.00700000021606684 2722784.26899999938905239, 225786.26200000010430813 2722784.00500000081956387, 225786.65600000042468309 2722783.9590000007301569, 225797.98000000044703484 2722782.63299999944865704, 225799.69799999985843897 2722782.43099999986588955, 225799.7900000000372529 2722782.42100000008940697, 225800.08600000012665987 2722782.38599999994039536, 225800.14800000004470348 2722782.37900000065565109, 225800.53100000042468309 2722782.3340000007301569, 225806.04299999959766865 2722781.68899999931454659, 225806.43099999986588955 2722781.64299999922513962, 225810.55900000035762787 2722781.16000000014901161, 225812.75700000021606684 2722780.90300000086426735, 225813.14499999955296516 2722780.85700000077486038, 225819.26400000043213367 2722780.14000000059604645, 225819.651999999769032 2722780.09500000067055225, 225821.96700000017881393 2722779.82399999909102917, 225846.13900000043213367 2722776.22299999929964542, 225880.48500000033527613 2722769.91000000014901161, 225902.91199999954551458 2722764.59699999913573265, 225934.69900000002235174 2722755.73499999940395355, 225962.86799999978393316 2722746.12199999950826168, 225985.46999999973922968 2722737.04399999976158142, 226004.45399999991059303 2722729.23000000044703484, 226028.34399999957531691 2722718.14100000075995922, 226047.28899999987334013 2722708.21600000001490116, 226063.9330000001937151 2722698.84999999962747097, 226077.18599999975413084 2722690.38299999944865704, 226095.59499999973922968 2722678.61900000087916851, 226110.75800000037997961 2722668.125, 226111.04100000020116568 2722667.928999999538064, 226113.55499999970197678 2722666.18899999931454659, 226113.8349999999627471 2722665.99599999934434891, 226115.73400000017136335 2722664.68200000002980232, 226116.01499999966472387 2722664.4869999997317791, 226117.81199999991804361 2722663.24400000087916851, 226133.08999999985098839 2722651.54900000058114529, 226146.66700000036507845 2722640.77300000004470348, 226157.46899999957531691 2722631.12099999934434891, 226172.96200000029057264 2722617.73299999907612801, 226183.21999999973922968 2722607.45199999958276749, 226197.36299999989569187 2722593.44400000013411045, 226210.11000000033527613 2722580.25699999928474426, 226226.8619999997317791 2722561.7090000007301569, 226292.61699999962002039 2722487.88000000081956387, 226372.25899999961256981 2722399.10500000044703484, 226425.42300000041723251 2722350.61500000022351742, 226463.98099999967962503 2722321.98799999989569187, 226490.27099999971687794 2722304.75400000065565109, 226545.48000000044703484 2722274.95800000056624413, 226591.04800000041723251 2722255.678999999538064, 226613.8080000001937151 2722247.87299999967217445))",K0000000197,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((227129.4150000000372529 2703545.32300000078976154, 227129.56599999964237213 2703546.58799999952316284, 227130.21800000034272671 2703552.0580000001937151, 227130.41399999987334013 2703553.70800000056624413, 227130.66299999970942736 2703555.80000000074505806, 227130.71899999957531691 2703556.26899999938905239, 227131.12299999967217445 2703559.65499999932944775, 227131.33000000007450581 2703561.39800000004470348, 227131.6969999996945262 2703564.47800000011920929, 227132.00100000016391277 2703567.02700000070035458, 227132.23400000017136335 2703568.98100000061094761))",K0000000127,臺鐵臺中線(山線),1,,201908,0,0,TM2
"MultiLineString ((226977.54499999992549419 2722163.05499999970197678, 227032.89499999955296516 2722151.87299999967217445, 227114.22400000039488077 2722142.12399999983608723, 227141.74199999962002039 2722141.553999999538064))",K0000000189,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((237883.64900000020861626 2730407.80199999921023846, 237887.20199999958276749 2730552.11700000055134296))",K0000000152,,2,,202001,0,0,TM2
"MultiLineString ((227441.6650000000372529 2722187.61900000087916851, 227442.20199999958276749 2722187.79600000008940697, 227476.20399999991059303 2722201.37600000016391277, 227510.3030000003054738 2722216.6119999997317791, 227538.91199999954551458 2722230.63099999912083149, 227574.33200000040233135 2722250.40300000086426735, 227610.13100000005215406 2722273.02500000037252903, 227648.57799999974668026 2722298.08699999935925007, 227664.40600000042468309 2722308.9590000007301569))",K0000000191,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((237891.07899999991059303 2730611.08300000056624413, 237893.38599999994039536 2730646.17300000041723251))",K0000000230,臺鐵縱貫線(北段),2,,202001,0,0,TM2
"MultiLineString ((237875.92700000014156103 2730267.7909999992698431, 237883.64900000020861626 2730407.80199999921023846))",K0000000276,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((226613.8080000001937151 2722247.87299999967217445, 226614.33999999985098839 2722247.69099999964237213, 226614.66000000014901161 2722247.58200000040233135, 226616.0530000003054738 2722247.10400000028312206, 226616.37299999967217445 2722246.99400000087916851, 226617.4469999996945262 2722246.62600000016391277, 226617.76699999999254942 2722246.51600000075995922, 226618.06400000024586916 2722246.4140000008046627))",K0000000159,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((236958.82899999991059303 2726432.64699999988079071, 236959.78899999987334013 2726433.43999999947845936, 236961.51999999955296516 2726434.86999999918043613, 236963.66000000014901161 2726436.63900000043213367, 236963.70299999974668026 2726436.67300000041723251, 236963.80499999970197678 2726436.75400000065565109, 236965.09700000006705523 2726437.77700000070035458, 236966.98599999956786633 2726439.27300000004470348, 236968.17700000014156103 2726440.21700000017881393, 236968.99799999967217445 2726440.86700000055134296))",K0000000247,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((237904.33800000045448542 2730644.22800000011920929, 237901.46200000029057264 2730611.29600000008940697))",K0000000231,臺鐵縱貫線(北段),2,,202001,0,0,TM2
"MultiLineString ((227096.49930000025779009 2701256.08300000056624413, 227097.97200000006705523 2701384.32499999925494194, 227100.09200000017881393 2701505.18400000035762787))",K0000000086,臺鐵臺中線(山線),2,,201908,0,0,TM2
"MultiLineString ((226968.7900000000372529 2722164.82300000078976154, 226971.43900000024586916 2722164.28800000064074993, 226971.79100000020116568 2722164.21700000017881393, 226973.61899999994784594 2722163.84799999929964542, 226973.96800000034272671 2722163.77700000070035458, 226976.69000000040978193 2722163.22699999995529652, 226977.03799999970942736 2722163.15699999965727329, 226977.54499999992549419 2722163.05499999970197678))",K0000000157,臺鐵海岸線(海線),1,,202001,0,0,TM2
"MultiLineString ((232050.22499999962747097 2717597.36099999956786633, 232049.27799999993294477 2717619.93700000084936619, 232047.95100000035017729 2717631.67400000058114529, 232047.44799999985843897 2717638.55599999986588955))",K0000000105,,2,,201908,0,0,TM2
"MultiLineString ((232047.44799999985843897 2717638.55599999986588955, 232044.7900000000372529 2717674.8080000001937151, 232016.32600000035017729 2717881.11500000022351742, 231993.24600000027567148 2717963.31200000084936619, 231988.8219999996945262 2717997.43099999986588955, 231952.79299999959766865 2718313.43899999931454659, 231952.04200000036507845 2718415.11800000071525574))",K0000000106,,2,,201908,0,0,TM2
"MultiLineString ((227030.58200000040233135 2694827.5409999992698431, 227022.50899999961256981 2694814.99899999983608723, 226982.07299999985843897 2694755.41300000064074993, 226943.13499999977648258 2694697.41100000031292439))",K0000000082,臺鐵舊山線,1,,201908,0,0,TM2
"MultiLineString ((227251.70799999963492155 2722144.84999999962747097, 227256.39400000032037497 2722145.2890000008046627, 227327.16100000031292439 2722156.06799999997019768, 227328.34439999982714653 2722156.32990000024437904))",K0000000188,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((236110.38999999966472387 2725565.81499999947845936, 236125.14300000015646219 2725578.90599999949336052, 236131.39300000015646219 2725584.76600000075995922, 236131.41000000014901161 2725584.78199999965727329, 236133.87200000043958426 2725587.08899999968707561, 236136.22099999990314245 2725589.29199999943375587, 236136.23400000017136335 2725589.303999999538064, 236181.88999999966472387 2725632.10600000061094761, 236244.28799999970942736 2725696.51099999994039536, 236298.41199999954551458 2725759.16200000047683716, 236341.51900000032037497 2725811.29299999959766865, 236343.42200000025331974 2725813.66699999943375587, 236343.71700000017881393 2725814.03600000031292439, 236346.63599999994039536 2725817.67600000090897083, 236349.78500000014901161 2725821.60500000044703484, 236349.80099999997764826 2725821.625, 236564.64699999988079071 2726089.64800000004470348, 236617.51599999982863665 2726143.77099999971687794, 236642.95500000007450581 2726168.74499999918043613, 236676.25100000016391277 2726198.9159999992698431, 236687.97900000028312206 2726210.19099999964237213, 236716.83999999985098839 2726235.13900000043213367, 236721.52400000020861626 2726239.18700000084936619, 236723.16399999987334013 2726240.60500000044703484, 236765.20500000007450581 2726274.44299999997019768, 236859.48000000044703484 2726350.53199999965727329, 236958.82899999991059303 2726432.64699999988079071))",K0000000266,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((232250.61899999994784594 2721771.31299999915063381, 232266.651999999769032 2721794.10700000077486038, 232287.34300000034272671 2721819.303999999538064))",K0000000241,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((227339.04999999981373549 2704789.65200000070035458, 227339.06300000008195639 2704789.69800000078976154, 227340.23599999956786633 2704793.68600000068545341, 227341.38300000037997961 2704797.58899999968707561, 227341.48599999956786633 2704797.94099999964237213, 227390.54499999992549419 2704964.82200000062584877, 227435.58299999963492155 2705116.22800000011920929, 227481.9280000003054738 2705273.01600000075995922, 227510.24799999967217445 2705365.08000000007450581, 227530.59399999957531691 2705418.72599999979138374, 227531.08999999985098839 2705420.03500000014901161, 227531.69099999964237213 2705421.61900000087916851, 227546.28399999998509884 2705460.09799999929964542, 227569.23900000005960464 2705514.56799999997019768, 227617.00700000021606684 2705614.28700000047683716))",K0000000124,臺鐵臺中線(山線),2,,201908,0,0,TM2
"MultiLineString ((226395.39099999982863665 2699547.678999999538064, 226393.59300000034272671 2699533.22499999962747097))",K0000000136,臺鐵舊山線,1,,201908,0,0,TM2
"MultiLineString ((237805.08100000023841858 2729437.35899999924004078, 237805.08899999968707561 2729437.40599999949336052, 237805.17100000008940697 2729437.86999999918043613, 237805.33100000023841858 2729438.77700000070035458, 237805.63999999966472387 2729440.56200000084936619, 237806.66799999959766865 2729446.50200000032782555, 237807.696000000461936 2729452.4419999998062849, 237808.58399999979883432 2729457.57200000062584877))",K0000000251,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((231796.49299999978393316 2719646.70800000056624413, 231796.55900000035762787 2719648.49300000071525574, 231796.56199999991804361 2719648.57599999941885471, 231796.68900000024586916 2719652.01799999922513962, 231796.6919999998062849 2719652.10199999995529652, 231796.81799999997019768 2719655.5260000005364418, 231796.821000000461936 2719655.60999999940395355, 231796.9869999997317791 2719660.10500000044703484, 231797.04299999959766865 2719661.26700000092387199))",K0000000255,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((233711.99780000001192093 2728412.86009999923408031, 233684.07650000043213367 2728423.67359999939799309))",K0000000174,臺鐵海岸線(海線),1,談內溪橋,202001,0,0,TM2
"MultiLineString ((231952.04200000036507845 2718415.11800000071525574, 231935.96700000017881393 2718532.24699999950826168, 231935.96200000029057264 2718532.28500000014901161, 231920.56799999997019768 2718644.44899999909102917, 231904.60500000044703484 2718761.5390000008046627, 231904.151999999769032 2718764.86700000055134296, 231903.49899999983608723 2718769.65399999916553497, 231902.79999999981373549 2718774.77999999932944775, 231902.45500000007450581 2718777.31799999997019768, 231800.61600000038743019 2719524.33699999935925007, 231797.43800000008195639 2719560.74000000022351742, 231795.39300000015646219 2719616.83799999952316284, 231796.49299999978393316 2719646.70800000056624413))",K0000000256,臺鐵臺中線(山線),2,,202001,0,0,TM2
"MultiLineString ((223650.98799999989569187 2722089.58799999952316284, 223651.5719999996945262 2722089.54399999976158142, 223653.53100000042468309 2722089.39499999955296516, 223656.0530000003054738 2722089.20299999974668026, 223658.99263746864744462 2722088.97930859541520476))",K0000000153,臺鐵海岸線(海線),1,,202302,0,0,TM2
"MultiLineString ((231877.196000000461936 2728445.75400000065565109, 232032.09900000039488077 2728496.5580000001937151, 232141.0580000001937151 2728531.08500000089406967, 232227.21410000044852495 2728558.59970000013709068))",K0000000210,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((226618.06400000024586916 2722246.4140000008046627, 226632.28699999954551458 2722241.53700000047683716, 226694.85599999967962503 2722226.30599999986588955, 226789.25200000032782555 2722205.5580000001937151, 226847.28600000031292439 2722191.75999999977648258, 226916.70500000007450581 2722175.34400000050663948, 226941.73500000033527613 2722170.28800000064074993))",K0000000192,臺鐵海岸線(海線),2,,202001,0,0,TM2
"MultiLineString ((235545.62299999967217445 2725073.82699999958276749, 235553.74899999983608723 2725080.51700000092387199, 235556.61400000005960464 2725083.13700000010430813))",K0000000245,臺鐵臺中線(山線),1,,202001,0,0,TM2
"MultiLineString ((226941.73500000033527613 2722170.28800000064074993, 226942.70899999979883432 2722170.09100000001490116, 226943.04100000020116568 2722170.02400000020861626, 226947.29700000025331974 2722169.16499999910593033, 226947.63100000005215406 2722169.09699999913573265, 226950.28100000042468309 2722168.56200000084936619, 226950.61299999989569187 2722168.49499999918043613, 226950.72900000028312206 2722168.47199999913573265))",K0000000158,臺鐵海岸線(海線),1,,202001,0,0,TM2
